typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,581091,"Embroidery; with visible ground, of cotton, in the piece, in strips or in motifs",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3381276.0,True,-1,N/A,,False,3381276.0,True,,False,,40024984.0,40024984.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,581092,"Embroidery; with visible ground, of man-made fibres, in the piece, in strips or in motifs",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3941372.0,True,-1,N/A,,False,3941372.0,True,,False,,100645209.0,100645209.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,581099,"Embroidery; with visible ground, of textile materials (other than cotton and man-made fibres), in the piece, in strips or in motifs",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2197380.0,True,-1,N/A,,False,2197380.0,True,,False,,49112604.0,49112604.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,581100,"Quilted textile products; in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise (excluding embroidery of heading no. 5810)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,71637.0,True,-1,N/A,,False,71637.0,True,,False,,797890.0,797890.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590110,"Textile fabrics; coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,763811.0,True,-1,N/A,,False,763811.0,True,,False,,5261999.0,5261999.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590190,"Textile fabrics; coated with gum or amylaceous substances, tracing cloth, prepared painting canvas, buckram and similar stiffened textile fabrics for hat foundations, (excluding book covers)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,470221.0,True,-1,N/A,,False,470221.0,True,,False,,2599345.0,2599345.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590210,Textile fabrics; tyrecord of high tenacity yarn of nylon or other polyamides,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,607865.0,True,-1,N/A,,False,607865.0,True,,False,,2792603.0,2792603.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590220,Textile fabrics; tyrecord of high tenacity yarn of polyester,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,147243.0,True,-1,N/A,,False,147243.0,True,,False,,476247.0,476247.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590290,Textile fabrics; tyrecord of high tenacity yarn of viscose rayon,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7313642.0,True,-1,N/A,,False,7313642.0,True,,False,,42217467.0,42217467.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590310,"Textile fabrics; impregnated, coated, covered or laminated with poly(vinyl chloride)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26571609.0,True,-1,N/A,,False,26571609.0,True,,False,,96781498.0,96781498.0,6,True,False,textiles
